*** MOTESSI AND NEOMAT MATERIALES ***
""
*** Material (Motessi) ***,*** Precio (Motessi) ***,,*** Material (Neomat) ***,*** Precio (Neomat) ***
Hierro Nervado 6mm ( 2.66),"$5.035,10",,,
,,,Hierro Nervado 6mm (2.66)x Bar,"$5.127,00"
Hierro Nervado 10mm ( 7.40),"$13.580,49",,,
,,,Hierro Nervado 10mm(7.40)xBarr,"$13.351,00"
Hierro Nervado 12mm (10.70),"$19.319,65",,,
,,,Hierro Nervado 12mm(10.7)xBar,"$19.286,00"
Hierro Nervado 8mm ( 4.74),"$8.765,29",,,
,,,Hierro Nervado 8mm(4.74)x Barr,"$8.865,00"
Hierro Nervado 16mm (18.90),"$33.926,68",,,
,,,,
Bolsón c/Arena Mediana x m3,"$27.057,68",,,
,,,,
Arena Fina Tamizada x 25 Kg,"$5.260,57",,,
,,,,
Bolsón Mixto c/Arena y Piedra,"$27.281,72",,,
,,,,
Bolsón Mixto c/Arena y Piedra,"$27.281,72",,,
,,,,
Bolsón c/Piedra x m3,"$27.057,68",,,
,,,,
Bolsón c/Granza x m3,"$27.617,50",,,
,,,,
